"Taxon","(Intercept) estimate","(Intercept) std.error","(Intercept) statistic","(Intercept) p.value","FDD estimate","FDD std.error","FDD statistic","FDD p.value","GDD estimate","GDD std.error","GDD statistic","GDD p.value","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","rho2","Cold & Freezing","Cold & Snowy","Hot & Freezing","Hot & Snowy","Frequency 2009","Frequency 2018","Frequency change '09 to '18"
"Galium pyrenaicum",-3.96836908398917,2.19893301781336,-1.80467938397476,0.0711248677129441,0.0277051734954591,0.00696995569179433,3.97494255638901,7.03962451881677e-05,0.000154782049706935,0.00200054866597046,0.0773697997653309,0.938329365043592,63.4640699636227,77,-19.8726965402683,45.7453930805367,52.8155195606054,39.7453930805367,75,78,0.37,95,2,96,3,"74.4","0","-74.4"
"Gentiana nivalis",-1.19275676660685,1.08501728024461,-1.09929748431099,0.271638329310379,0.00388828158693717,0.00447639028204898,0.868619879399208,0.385055077483377,6.34999898692394e-06,0.00104135270067661,0.00609783696032871,0.9951346601869,90.8687900460538,77,-45.064172882352,96.128345764704,103.198472244773,90.128345764704,75,78,0.01,44,23,45,24,"-","-","-"
"Gypsophila repens",-5.40869513112437,1.82917970903495,-2.95689652821369,0.00310752379825191,-0.00392863117654281,0.00829496083841641,-0.473616603269319,0.635773333436825,0.00358837008966206,0.00154287712020666,2.32576531381929,0.0200310740055531,63.4640699636227,77,-28.0939588302992,62.1879176605985,69.2580441406672,56.1879176605985,75,78,0.11,10,22,97,99,"244.4","223.1","-21.3"
"Helianthemum apenninum subsp. urrielense",2.40337504689609,1.04135048999121,2.30794057331876,0.0210024419930428,-0.0103630523874764,0.00493969516239009,-2.09791334217923,0.0359128011817687,-0.00222540958406424,0.000999911365567584,-2.22560684946412,0.0260405270055581,107.309002709671,77,-48.7497057290469,103.499411458094,110.569537938163,97.4994114580937,75,78,0.09,6,46,0,2,"669.4","1253.8","584.4"
"Helianthemum canum",-7.99831004714856,1.80969959131731,-4.41968937028186,9.88428742876779e-06,-0.00441686531897485,0.00555625883654868,-0.794935126117779,0.42665124013278,0.00821865537872327,0.00178120138847214,4.61410788915507,3.94787324055553e-06,107.668965458933,77,-32.7476041706151,71.4952083412301,78.5653348212989,65.4952083412301,75,78,0.39,59,81,100,100,"4781.2","5036.2","255"
"Helictotrichon sedenense",-0.992212820047806,1.0488659724841,-0.945986280494809,0.344155583886328,0.0128457151128105,0.00475788499985538,2.69987927686376,0.00693646411205031,-0.000213279485301606,0.00100856770417091,-0.211467692669113,0.832522339674356,101.84082385095,77,-46.6512822415417,99.3025644830834,106.372690963152,93.3025644830834,75,78,0.08,87,22,83,17,"1455.6","1721.2","265.6"
"Iberis carnosa",1.00646433242172,1.36591650395977,0.736841768515131,0.461218579399203,0.0199017644870805,0.00554040635686195,3.59211278111967,0.000328007828438468,-0.00378667569004176,0.0015951347247365,-2.37389082647379,0.0176017540264888,81.790711836521,77,-29.519499945509,65.038999891018,72.1091263710867,59.038999891018,75,78,0.28,83,3,1,0,"21.2","0","-21.2"
"Jurinea humilis",-5.62897081400394,1.70766792753201,-3.29629123042626,0.00097970398753805,-0.00123845066223242,0.00673253818472394,-0.183950039086663,0.854052649021496,0.00407273129327673,0.00144732943359024,2.81396287448804,0.00489348794814683,76.3700954051769,77,-32.9131855958391,71.8263711916782,78.896497671747,65.8263711916782,75,78,0.14,22,28,100,100,"244.4","180.6","-63.8"
"Koeleria vallesiana",-1.14204922659868,1.01093864393807,-1.1296919288295,0.25860605936482,-0.0100415215341836,0.0046602401020471,-2.15472192726137,0.0311836008581854,0.00212569577858682,0.00102737717631325,2.06905100443723,0.0385413007330956,104.825495724752,77,-47.3378380295119,100.675676059024,107.745802539093,94.6756760590238,75,78,0.1,24,79,91,99,"2613.8","2847.5","233.7"
"Lotus corniculatus",-3.9486675878798,1.54487386964255,-2.55598056609854,0.0105889032555264,-0.0419896257361862,0.0213493870961835,-1.96678366207957,0.0492081569027722,0.00304229207321981,0.00144500792047623,2.10538089799339,0.0352581652169415,63.4640699636227,77,-25.617300909317,57.234601818634,64.3047282987028,51.234601818634,75,78,0.19,0,39,0,99,"0","10.6","10.6"
"Minuartia verna",-1.20877753344991,0.965391130667367,-1.25211170379646,0.210529163583823,0.00485559280815534,0.00436398635629721,1.11265077654259,0.265858443766444,0.00118029868374009,0.000931973412620892,1.26645102505753,0.205351652833171,107.668965458933,77,-52.4608929809967,110.921785961993,117.991912442062,104.921785961993,75,78,0.03,79,54,96,89,"201.9","765","563.1"
"Phyteuma orbiculare",-3.3804374334816,1.28932182416596,-2.62187249926397,0.00874481396964357,-0.0102826286558885,0.00776392447475218,-1.32441121617386,0.185366511562028,0.00245442134231185,0.00117035945642912,2.09715171593566,0.0359801471686906,81.790711836521,77,-37.1250948428242,80.2501896856483,87.3203161657171,74.2501896856483,75,78,0.09,4,36,72,97,"74.4","42.5","-31.9"
"Plantago alpina",0.420507264350204,0.98505154192595,0.426888590548306,0.669460476136068,-0.0161683944000026,0.00698794877627679,-2.31375399529148,0.0206812201997524,-0.000532221129747398,0.00096633669440604,-0.550761585302862,0.581797121013906,99.2962102539908,77,-45.5309484959438,97.0618969918876,104.132023471956,91.0618969918876,75,78,0.08,2,45,1,26,"21.2","21.2","0"
"Potentilla crantzii",-3.27426572368807,1.49716273942773,-2.18698050483117,0.0287439472021553,-6.0182150005181e-05,0.00637989622153309,-0.00943309231301559,0.992473592903652,0.00146600716124045,0.00134531670547697,1.0897115565964,0.275840223799981,63.4640699636227,77,-31.1071526011659,68.2143052023318,75.2844316824006,62.2143052023318,75,78,0.02,17,17,69,69,"0","10.6","10.6"
"Ranunculus carinthiacus",0.89672425525435,1.02940489806827,0.87110937293683,0.383694436851305,-0.00357945090993519,0.00489459002936717,-0.731307604612184,0.46459128656285,-0.00176594704320352,0.0010492760052077,-1.68301479728773,0.0923722269184782,92.8013196534737,77,-44.6700398442329,95.3400796884658,102.410206168535,89.3400796884658,75,78,0.04,12,24,1,2,"95.6","85","-10.6"
"Saxifraga conifera",0.752405187709047,0.972894684351529,0.773367559522183,0.439304883144126,-0.0151852741992121,0.00576911603985193,-2.63216653891431,0.00848422632354757,-0.000289779047739852,0.000936219429400274,-0.309520437880123,0.756925667764522,107.668965458933,77,-49.1115962668009,104.223192533602,111.293319013671,98.2231925336019,75,78,0.09,3,60,2,49,"255","467.5","212.5"
"Scilla verna",-5.55446033115204,1.79143329457099,-3.10056776771151,0.00193150010054871,-0.0475076397681766,0.0223387858800715,-2.12668853281585,0.0334459709302402,0.00469778541964964,0.00163766500815682,2.86858752934885,0.00412309097855859,66.9743914211761,77,-24.1796469100466,54.3592938200932,61.429420300162,48.3592938200932,75,78,0.28,0,46,2,100,"531.2","595","63.8"
"Sedum atratum",-0.902095333765121,1.11415011181019,-0.809671267994094,0.418129135604019,0.00725410467453654,0.00445789727141057,1.62724805729792,0.103684424836905,-0.000551647275620044,0.00109080246248806,-0.505726100362632,0.613048942941625,88.805896798032,77,-42.8985530223381,91.7971060446762,98.867232524745,85.7971060446762,75,78,0.03,56,18,34,8,"-","-","-"
"Silene acaulis",2.35034084714786,1.23335672819944,1.90564562012734,0.0566961990489278,0.00525295274342874,0.00470776847206454,1.11580524288721,0.264505509107666,-0.00422927474254238,0.0014193164357103,-2.97979691923023,0.00288439538581805,84.2718462126623,77,-35.8686677147772,77.7373354295544,84.8074619096232,71.7373354295544,75,78,0.15,23,7,0,0,"191.2","265.6","74.4"
"Silene ciliata",1.24479126064721,1.09312076019662,1.13874999540152,0.254807443608044,0.00690320603548083,0.00444579407927657,1.55274983779819,0.120482910829091,-0.00270812895526624,0.0011663521808144,-2.32187927438461,0.0202394370921438,92.8013196534737,77,-42.0766525891131,90.1533051782262,97.223431658295,84.1533051782262,75,78,0.09,46,13,1,0,"0","31.9","31.9"
"Thymus praecox subsp. ligusticus",2.11763468173151,1.35108187999796,1.5673622103012,0.117030051753137,0.00369902028440071,0.00685238412795933,0.539815079733759,0.589324566471405,-0.000474602013937454,0.00127950939701013,-0.370924992849973,0.710693399360367,63.4640699636227,77,-31.4905003786739,68.9810007573477,76.0511272374165,62.9810007573478,75,78,0.01,92,83,85,69,"2433.1","2603.1","170"
