Site;Plot;bio1;bio2;bio7;Snw;FDD;GDD;Survey
Los Cazadores;A07;5.891386212;4.876483731;27.33179724;104;19.33333333;1434;Spatial
Los Cazadores;A08;4.901046176;3.509188661;25.07603687;118;39.58333333;1220.583333;Spatial
Los Cazadores;A09;4.776202113;2.924745147;22.79493088;120;31.91666667;1169;Spatial
Los Cazadores;A10;5.150794815;3.599294791;24.55760369;124;9.083333333;1241.916667;Spatial
Los Cazadores;A11;6.159120002;5.502918587;26.45391705;27;21.33333333;1497.75;Spatial
Los Cazadores;A12;5.109751897;3.413922637;24.62442396;128;10.66666667;1232.416667;Spatial
Los Cazadores;A13;4.804739794;4.022259461;26.27880184;112;9.5;1151.833333;Spatial
Los Cazadores;A14;5.086833194;4.541031281;28.24423963;96;5.416666667;1185.333333;Spatial
Los Cazadores;A15;4.535682866;3.551082251;26.14285714;216;0;1075.916667;Spatial
Los Cazadores;A16;5.543983615;3.542640693;22.50921659;84;7.25;1336.333333;Spatial
Los Cazadores;A17;5.138509519;4.085853931;24.23041475;95;19.66666667;1249.25;Spatial
Los Cazadores;A18;4.665546013;3.248669879;23.0483871;87;36.75;1102.583333;Spatial
Los Cazadores;A19;4.089865242;3.20422427;24.42857143;205;0;950.1666667;Spatial
Los Cazadores;A20;3.505761532;3.076763022;26.92857143;189;0;718.5833333;Spatial
Hou Sin Tierri;2009;4.962917344;2.489727579;18.18962398;134;16.60058308;1200.39403;Temporal
Hou Sin Tierri;2010;4.815579207;2.743936138;22.26483628;103;69.88947836;1146.163387;Temporal
Hou Sin Tierri;2011;5.123681617;3.091355185;19.14259334;73;94.93604961;1308.620552;Temporal
Hou Sin Tierri;2012;4.144048393;2.571669652;21.27605659;98;156.6380905;1110.031517;Temporal
Hou Sin Tierri;2013;4.592000083;2.949801238;22.10152137;81;106.4807757;1102.374085;Temporal
Hou Sin Tierri;2014;5.235603498;3.292409995;19.62368786;66;72.5626091;1338.574835;Temporal
Hou Sin Tierri;2015;5.768870799;3.396013971;23.63338802;110;35.71726614;1457.462746;Temporal
Hou Sin Tierri;2016;5.28693998;3.196531015;24.40420644;138;64.48669729;1301.166325;Temporal
Hou Sin Tierri;2017;5.629462459;3.74485025;28.26800226;58;246.8444401;1577.631679;Temporal
Hou Sin Tierri;2018;4.772748193;2.818629019;24.43638638;154;27.79206759;1084.51387;Temporal
Hoyo Sin Tierra;2009;5.684842933;2.396311251;23.18589249;64;150.0330195;1519.003325;Temporal
Hoyo Sin Tierra;2010;5.836112569;2.24470292;22.20969635;111;33.79653697;1379.142918;Temporal
Hoyo Sin Tierra;2011;6.368968908;2.568297047;21.04967754;56;109.4047848;1683.228367;Temporal
Hoyo Sin Tierra;2012;5.836716339;2.70254698;22.03416041;40;115.1636314;1471.699773;Temporal
Hoyo Sin Tierra;2013;5.200147642;2.515929133;24.40264634;69;164.7121313;1359.642107;Temporal
Hoyo Sin Tierra;2014;6.334164753;2.50308486;18.51621341;118;8.156404124;1620.030777;Temporal
