Lifeform,Taxon,TPLName,family,order,class,clade,group,F,K,L,N,R,T
Geophyte,Dactylorhiza romana subsp. romana,Dactylorhiza romana,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Dactylorhiza cantabrica,Dactylorhiza romana,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Dactylorhiza romana subsp. guimaraesii,Dactylorhiza romana,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Dactylorhiza sambucina,Dactylorhiza sambucina,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,8,4,7,4,5,5
Geophyte,Dactylorhiza viridis,Dactylorhiza viridis,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,7,5,7,3,6,5
Hemicryptophyte,Danthonia decumbens,Danthonia decumbens,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,7,4,7,3,4,5
Phanerophyte,Daphne gnidium,Daphne gnidium,Thymelaeaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,5,4,7,4,5,7
Phanerophyte,Daphne laureola,Daphne laureola,Thymelaeaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,6,5,5,5,6,5
Chamaephyte,Dasiphora fruticosa,Dasiphora fruticosa,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,9,5,7,3,6,5
Therophyte,Torilis africana,Dasispermum capense,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Daucus carota subsp. carota,Daucus carota,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,4,7,5,6,6
Hemicryptophyte,Daucus carota subsp. cantabricus,Daucus carota,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,4,7,5,6,6
