"Plot","Taxon","Cover"
"HI1-19","Helianthemum canum",7
"LB1-19","Helianthemum canum",2
"HI2-19","Helianthemum canum",20
"HA1-19","Helictotrichon sedenense",0.2
"LB1-19","Helianthemum apenninum subsp. urrielense",15
"LB2-19","Helianthemum apenninum subsp. urrielense",8
"LB2-19","Helictotrichon sedenense",6
"HI1-19","Helictotrichon sedenense",3
"HI2-19","Helictotrichon sedenense",7
"LB1-19","Helictotrichon sedenense",26
"LC1-19","Hippocrepis comosa",1
"LB2-19","Iberis carnosa",0.1
"LB1-19","Jasione cavanillesii",0.5
"HI1-19","Jasione cavanillesii",0.01
"HA2-19","Jurinea humilis",1
"LC1-19","Jurinea humilis",1
"LC2-19","Jurinea humilis",0.5
"HI1-19","Jurinea humilis",0.1
"HA1-19","Koeleria vallesiana",2
"HA2-19","Koeleria vallesiana",4
"HI1-19","Koeleria vallesiana",0.5
"LC2-19","Koeleria vallesiana",4
"LC1-19","Koeleria vallesiana",5
"HI2-19","Koeleria vallesiana",2
"HI1-19","Phyteuma orbiculare",0.1
"LB2-19","Linaria alpina",0.005
"HI2-19","Minuartia verna",0.5
"LB2-19","Minuartia verna",1
"HA1-19","Minuartia verna",0.25
"LB1-19","Minuartia verna",1
"HA2-19","Minuartia verna",0.5
"LC2-19","Minuartia verna",0.5
"HI2-19","Phyteuma orbiculare",0.2
"LB1-19","Plantago alpina",0.3
"LB1-19","Poa alpina",0.1
"HA2-19","Potentilla crantzii",0.1
"LB1-19","Ranunculus carinthiacus",0.01
"HI2-19","Ranunculus parnassiifolius subsp. favargeri",0.5
"LB2-19","Ranunculus parnassiifolius subsp. favargeri",2
"LB1-19","Ranunculus parnassiifolius subsp. favargeri",0.5
"LB1-19","Salix breviserrata",6
"LC1-19","Saxifraga conifera",0.5
"LC2-19","Saxifraga conifera",2
"LC2-19","Scilla verna",2
"LC1-19","Scilla verna",0.5
"LB2-19","Sedum brevifolium",0.1
"HA2-19","Sempervivum vicentei",1
"HI2-19","Jacobaea boissieri",0.01
"HI1-19","Jacobaea boissieri",1
"HA2-19","Seseli montanum",0.5
"LC1-19","Sesleria caerulea",15
"LC2-19","Sesleria caerulea",0.5
"LB2-19","Silene acaulis",1
"LB1-19","Silene acaulis",5
"HI2-19","Silene acaulis",0.5
