Taxon;Family;Chorology;Lifeform;Clade;F;K;L;N;R;T
Poa alpina;Poaceae;Other;Hemicryptophyte;Angiosperms;5;5;8;3;6;4
Potentilla crantzii;Rosaceae;Alpine;Chamaephyte;Angiosperms;5;5;8;3;7;5
Ranunculus carinthiacus;Ranunculaceae;Alpine;Hemicryptophyte;Angiosperms;5;5;8;3;7;4
Ranunculus parnassiifolius subsp. favargeri;Ranunculaceae;Endemic;Hemicryptophyte;Angiosperms;5;6;8;3;7;4
Salix breviserrata;Salicaceae;Alpine;Chamaephyte;Angiosperms;5;6;8;3;7;4
Saxifraga conifera;Saxifragaceae;Endemic;Chamaephyte;Angiosperms;5;6;8;3;7;4
Saxifraga oppositifolia;Saxifragaceae;Alpine;Chamaephyte;Angiosperms;5;6;8;3;7;4
Saxifraga paniculata;Saxifragaceae;Alpine;Chamaephyte;Angiosperms;4;5;8;3;7;4
Scilla verna;Asparagaceae;Other;Geophyte;Angiosperms;7;4;7;3;5;5
Sedum album;Crassulaceae;Other;Chamaephyte;Angiosperms;5;5;8;4;6;6
Sedum atratum;Crassulaceae;Alpine;Therophyte;Angiosperms;5;6;8;3;7;4
Sedum brevifolium;Crassulaceae;Mediterranean;Chamaephyte;Angiosperms;4;6;8;3;4;4
Sempervivum vicentei;Crassulaceae;Mediterranean;Chamaephyte;Angiosperms;4;6;8;3;6;4
Seseli montanum;Apiaceae;Other;Hemicryptophyte;Angiosperms;5;5;8;3;7;5
Sesleria caerulea;Poaceae;Other;Hemicryptophyte;Angiosperms;6;5;8;3;7;4
Silene acaulis;Caryophyllaceae;Alpine;Chamaephyte;Angiosperms;5;6;8;3;7;4
Silene ciliata;Caryophyllaceae;Mediterranean;Hemicryptophyte;Angiosperms;5;6;8;3;6;4
Solidago virgaurea;Asteraceae;Other;Hemicryptophyte;Angiosperms;6;5;6;4;4;5
Teucrium pyrenaicum;Lamiaceae;Endemic;Chamaephyte;Angiosperms;5;5;8;3;6;6
Thesium pyrenaicum;Santalaceae;Alpine;Hemicryptophyte;Angiosperms;6;5;7;3;6;5
Thymus praecox subsp. ligusticus;Lamiaceae;Other;Chamaephyte;Angiosperms;5;5;8;3;6;5
Veronica nummularia;Plantaginaceae;Endemic;Chamaephyte;Angiosperms;5;6;8;3;7;3
Viola riviniana;Violaceae;Other;Hemicryptophyte;Angiosperms;6;4;6;4;5;6
Viola rupestris;Violaceae;Other;Hemicryptophyte;Angiosperms;5;5;8;3;6;4
