"Plot","Taxon","Cover"
"UR1-08","Luzula pediformis",0.1
"UR2-08","Luzula pediformis",0.1
"EC1-08","Minuartia verna",0.5
"LB1-09","Minuartia verna",0.1
"EC2-08","Minuartia verna",0.5
"HR2-09","Minuartia verna",0.1
"UR1-08","Minuartia verna",0.1
"LB2-09","Minuartia verna",0.1
"HA1-09","Minuartia verna",0.1
"HA2-09","Minuartia verna",0.1
"HR1-09","Minuartia verna",0.1
"HI2-09","Minuartia verna",0.01
"LC1-09","Minuartia verna",0.1
"LC2-09","Minuartia verna",0.01
"EC1-08","Pedicularis pyrenaica",3
"UR2-08","Pedicularis pyrenaica",0.5
"HI1-09","Phyteuma orbiculare",0.01
"HI2-09","Phyteuma orbiculare",0.01
"LB1-09","Plantago alpina",0.1
"EC1-08","Plantago alpina",1
"LB1-09","Poa alpina",0.1
"EC1-08","Poa alpina",1
"HR2-09","Poa alpina",3
"HR1-09","Poa alpina",0.1
"UR2-08","Bistorta vivipara",3
"UR1-08","Bistorta vivipara",3
"CB1-08","Potentilla asturica",6
"EC1-08","Potentilla crantzii",0.5
"HR2-09","Ranunculus carinthiacus",0.1
"HR1-09","Ranunculus carinthiacus",0.1
"LB1-09","Ranunculus carinthiacus",0.1
"UR2-08","Ranunculus carinthiacus",4
"UR1-08","Ranunculus carinthiacus",2
"LB1-09","Ranunculus parnassiifolius subsp. favargeri",0.1
"LB2-09","Ranunculus parnassiifolius subsp. favargeri",0.5
"HI2-09","Ranunculus parnassiifolius subsp. favargeri",0.1
"CB1-08","Rhamnus alpina",0.1
"LB1-09","Salix breviserrata",10
"HR1-09","Saxifraga conifera",0.1
"LC1-09","Saxifraga conifera",0.01
"HR2-09","Saxifraga conifera",0.1
"LC2-09","Saxifraga conifera",0.01
"HR1-09","Saxifraga oppositifolia",3
"CB1-08","Saxifraga oppositifolia",0.1
"LC2-09","Scilla verna",0.01
"UR2-08","Selaginella selaginoides",0.1
"UR1-08","Selaginella selaginoides",1
"HA2-09","Sempervivum vicentei",0.1
"HI2-09","Jacobaea boissieri",0.01
"HI1-09","Jacobaea boissieri",0.2
"EC1-08","Seseli libanotis",0.1
"EC2-08","Seseli libanotis",0.1
"UR1-08","Sesleria caerulea",15
"LC1-09","Sesleria caerulea",0.1
"UR2-08","Sesleria caerulea",20
"LB1-09","Silene acaulis",10
"LB2-09","Silene acaulis",0.1
"HR1-09","Silene acaulis",40
"CB2-08","Silene acaulis",3
"HR2-09","Silene acaulis",50
"HI2-09","Silene acaulis",0.1
"HR2-09","Silene ciliata",0.1
"HA2-09","Silene ciliata",0.1
"HR1-09","Silene ciliata",0.1
"EC1-08","Teucrium pyrenaicum",1
"EC2-08","Teucrium pyrenaicum",0.1
"HR2-09","Thymus praecox subsp. ligusticus",2
"UR2-08","Thymus praecox subsp. ligusticus",5
"LC1-09","Thymus praecox subsp. ligusticus",0.01
"HR1-09","Thymus praecox subsp. ligusticus",2
